Partido,Cod_Prov,Cod_Part,stratum,p_bray
Azul,06,049,6049,8.0
Azul,06,049,6049,13.9
Azul,06,049,6049,5.7
Azul,06,049,6049,8.4
Azul,06,049,6049,8.8
Azul,06,049,6049,9.7
Azul,06,049,6049,11.8
Azul,06,049,6049,7.6
Azul,06,049,6049,10.6
Azul,06,049,6049,6.3
Azul,06,049,6049,8.0
Azul,06,049,6049,11.9
Azul,06,049,6049,6.9
Azul,06,049,6049,8.8
Azul,06,049,6049,7.5
Azul,06,049,6049,8.1
Azul,06,049,6049,7.7
Azul,06,049,6049,8.1
Azul,06,049,6049,4.4
Azul,06,049,6049,7.4
Azul,06,049,6049,11.9
Azul,06,049,6049,6.2
Azul,06,049,6049,7.1
Azul,06,049,6049,9.1
Azul,06,049,6049,9.3
Azul,06,049,6049,11.5
Azul,06,049,6049,4.9
Azul,06,049,6049,4.8
Azul,06,049,6049,3.5
Azul,06,049,6049,11.8
Azul,06,049,6049,5.2
Azul,06,049,6049,3.7
Azul,06,049,6049,4.4
Azul,06,049,6049,20.3
Azul,06,049,6049,16.2
Azul,06,049,6049,4.8
Azul,06,049,6049,9.0
Azul,06,049,6049,8.0
Azul,06,049,6049,7.6
Azul,06,049,6049,6.7
Azul,06,049,6049,5.5
Azul,06,049,6049,3.0
Azul,06,049,6049,4.4
Azul,06,049,6049,6.4
Azul,06,049,6049,10.1
Azul,06,049,6049,10.8
Azul,06,049,6049,9.9
Azul,06,049,6049,7.8
Azul,06,049,6049,7.0
Azul,06,049,6049,8.6
Azul,06,049,6049,9.8
Azul,06,049,6049,14.6
Azul,06,049,6049,7.1
Azul,06,049,6049,22.3
Azul,06,049,6049,16.5
Azul,06,049,6049,3.2
Azul,06,049,6049,8.1
Azul,06,049,6049,4.3
Azul,06,049,6049,4.3
Azul,06,049,6049,10.8
Azul,06,049,6049,44.7
Azul,06,049,6049,4.0
Azul,06,049,6049,8.5
Azul,06,049,6049,4.0
Azul,06,049,6049,11.5
Azul,06,049,6049,14.4
Azul,06,049,6049,5.7
Azul,06,049,6049,6.7
Azul,06,049,6049,18.7
Azul,06,049,6049,11.1
Azul,06,049,6049,17.2
Azul,06,049,6049,7.5
Azul,06,049,6049,8.0
Azul,06,049,6049,5.6
Azul,06,049,6049,4.4
Azul,06,049,6049,6.2
Azul,06,049,6049,5.2
Azul,06,049,6049,12.9
Azul,06,049,6049,5.7
Azul,06,049,6049,4.7
Azul,06,049,6049,7.6
Azul,06,049,6049,5.0
Azul,06,049,6049,5.9
Azul,06,049,6049,27.5
Azul,06,049,6049,9.1
Azul,06,049,6049,10.1
Azul,06,049,6049,30.7
Azul,06,049,6049,5.9
Azul,06,049,6049,19.2
Azul,06,049,6049,3.9
Azul,06,049,6049,9.3
Azul,06,049,6049,3.0
Azul,06,049,6049,3.0
Azul,06,049,6049,3.6
Azul,06,049,6049,3.1
Azul,06,049,6049,3.0
Azul,06,049,6049,4.4
Azul,06,049,6049,8.1
Azul,06,049,6049,7.4
Azul,06,049,6049,7.8
Azul,06,049,6049,9.2
Azul,06,049,6049,10.3
Azul,06,049,6049,7.0
Azul,06,049,6049,8.5
Azul,06,049,6049,6.6
Azul,06,049,6049,9.7
Azul,06,049,6049,9.6
Azul,06,049,6049,6.6
Azul,06,049,6049,9.6
Azul,06,049,6049,10.9
Azul,06,049,6049,11.7
Azul,06,049,6049,4.8
Azul,06,049,6049,7.8
Azul,06,049,6049,13.9
Azul,06,049,6049,27.2
Azul,06,049,6049,10.2
Azul,06,049,6049,9.0
Azul,06,049,6049,8.3
Azul,06,049,6049,12.6
Azul,06,049,6049,10.5
Azul,06,049,6049,6.8
Azul,06,049,6049,27.8
Azul,06,049,6049,16.8
Azul,06,049,6049,8.7
Azul,06,049,6049,13.1
Azul,06,049,6049,21.0
Azul,06,049,6049,15.2
Azul,06,049,6049,14.0
Azul,06,049,6049,14.5
Azul,06,049,6049,14.8
Azul,06,049,6049,9.2
Azul,06,049,6049,15.9
Azul,06,049,6049,7.7
Azul,06,049,6049,9.3
Azul,06,049,6049,11.8
Azul,06,049,6049,8.9
Azul,06,049,6049,9.0
Azul,06,049,6049,11.2
Azul,06,049,6049,13.7
Azul,06,049,6049,11.0
Azul,06,049,6049,5.4
Azul,06,049,6049,8.7
Azul,06,049,6049,17.9
Azul,06,049,6049,14.0
Azul,06,049,6049,20.5
Azul,06,049,6049,13.8
Azul,06,049,6049,11.4
Azul,06,049,6049,11.3
Azul,06,049,6049,8.3
Azul,06,049,6049,13.7
Azul,06,049,6049,11.0
Azul,06,049,6049,10.8
Azul,06,049,6049,8.6
Azul,06,049,6049,8.3
Azul,06,049,6049,10.3
Azul,06,049,6049,11.3
Azul,06,049,6049,9.1
Azul,06,049,6049,9.8
Azul,06,049,6049,10.2
Azul,06,049,6049,9.5
Azul,06,049,6049,18.4
Azul,06,049,6049,25.7
Azul,06,049,6049,13.5
Azul,06,049,6049,13.5
Azul,06,049,6049,10.2
Azul,06,049,6049,10.2
Azul,06,049,6049,21.4
Azul,06,049,6049,11.3
Azul,06,049,6049,17.6
Azul,06,049,6049,15.6
Azul,06,049,6049,6.4
Azul,06,049,6049,10.0
Azul,06,049,6049,11.7
Azul,06,049,6049,11.8
Azul,06,049,6049,5.4
Azul,06,049,6049,11.6
Azul,06,049,6049,6.2
Azul,06,049,6049,5.1
Azul,06,049,6049,5.8
Azul,06,049,6049,7.9
Azul,06,049,6049,2.3
Azul,06,049,6049,5.8
Azul,06,049,6049,5.9
Azul,06,049,6049,18.4
Azul,06,049,6049,10.5
Azul,06,049,6049,36.9
Azul,06,049,6049,6.2
Azul,06,049,6049,11.9
Azul,06,049,6049,5.0
Azul,06,049,6049,16.2
Azul,06,049,6049,5.5
Azul,06,049,6049,11.4
Azul,06,049,6049,13.3
Azul,06,049,6049,8.9
Azul,06,049,6049,8.6
Azul,06,049,6049,6.9
Azul,06,049,6049,7.5
Azul,06,049,6049,10.6
Azul,06,049,6049,8.3
Azul,06,049,6049,9.3
Azul,06,049,6049,7.8
Azul,06,049,6049,10.3
Azul,06,049,6049,9.5
Azul,06,049,6049,7.5
Azul,06,049,6049,7.6
Azul,06,049,6049,10.1
Azul,06,049,6049,11.1
Azul,06,049,6049,10.4
Azul,06,049,6049,10.3
Azul,06,049,6049,12.5
Azul,06,049,6049,19.6
Azul,06,049,6049,7.8
Azul,06,049,6049,10.8
Azul,06,049,6049,12.4
Azul,06,049,6049,12.1
Azul,06,049,6049,9.4
Azul,06,049,6049,15.0
Azul,06,049,6049,8.8
Azul,06,049,6049,10.5
Azul,06,049,6049,14.9
Azul,06,049,6049,14.6
Azul,06,049,6049,16.2
Azul,06,049,6049,21.8
Azul,06,049,6049,7.1
Azul,06,049,6049,6.8
Azul,06,049,6049,12.4
Azul,06,049,6049,14.1
Azul,06,049,6049,18.9
Azul,06,049,6049,10.6
Azul,06,049,6049,18.6
Azul,06,049,6049,10.6
Azul,06,049,6049,10.9
Azul,06,049,6049,11.1
Azul,06,049,6049,7.4
Azul,06,049,6049,10.9
Azul,06,049,6049,9.2
Azul,06,049,6049,8.4
Azul,06,049,6049,9.5
Azul,06,049,6049,9.7
Azul,06,049,6049,9.0
Azul,06,049,6049,7.6
Azul,06,049,6049,4.6
Azul,06,049,6049,5.1
Azul,06,049,6049,11.1
Azul,06,049,6049,8.3
Azul,06,049,6049,13.2
Azul,06,049,6049,11.0
Azul,06,049,6049,10.7
Azul,06,049,6049,7.4
Azul,06,049,6049,14.7
Azul,06,049,6049,13.3
Azul,06,049,6049,16.0
Azul,06,049,6049,23.0
Azul,06,049,6049,7.8
Azul,06,049,6049,12.7
Azul,06,049,6049,7.7
Azul,06,049,6049,6.6
Azul,06,049,6049,7.8
