"ProfID","x","y","clay_0_30","sand_0_30","silt_0_30"
"154",-58.674303,-38.207964,259.787917,410,330.212083
"197",-60.459175,-38.362847,251.0539197,400,348.9460803
"262",-58.866944,-38.421944,213.0443052,480,306.9556948
"2702",-58.022222,-37.821667,259.7128953,430,310.2871047
"2706",-57.918611,-37.954444,265.0761832,400,334.9238168
"2709",-60.472222,-36.677778,323.9214485,310,366.0785515
"2710",-60.228559,-36.691154,274.301052,240,485.698948
"2711",-60.450759,-36.843936,234.6745308,540,225.3254692
"2712",-60.426314,-36.944677,293.4165153,310,396.5834847
"2714",-59.27717,-36.95655,262.3425974,460,277.6574026
"2716",-61.126443,-37.170563,295.2268085,230,474.7731915
"2718",-60.40875,-37.09873,361.3655581,220,418.6344419
"2720",-60.317482,-37.180943,267.7525242,310,422.2474758
"2721",-59.475147,-37.283576,301.1552143,320,378.8447857
"2723",-60.817359,-37.581966,246.4421624,400,353.5578376
"2725",-61.466667,-38.033333,254.5546798,430,315.4453202
"2726",-58.517943,-38.006483,309.1537367,380,310.8462633
"2761",-58.2625,-37.808333,209.5334442,390,400.4665558
"2762",-58.159944,-37.892539,224.2753694,470,305.7246306
"2764",-61.090163,-37.183748,233.8378479,440,326.1621521
"2768",-60.955252,-37.365404,207.1928919,500,292.8071081
"2769",-60.802663,-37.456248,218.5770183,360,421.4229817
"2770",-60.574877,-37.374822,201.6377822,350,448.3622178
"2771",-60.723174,-37.361479,164.9744389,370,465.0255611
"2773",-60.872671,-37.540161,233.7394928,360,406.2605072
"2774",-60.698317,-37.470591,231.6561713,360,408.3438287
"2775",-59.273193,-37.46736,327.4451796,320,352.5548204
"2796",-58.367518,-38.274466,292.687741,390,317.312259
"2797",-58.163923,-38.345466,335.6255555,320,344.3744445
"2798",-61.156389,-38.320833,337.6851383,340,322.3148617
"2799",-60.761747,-38.243832,287.5833859,340,372.4166141
"2800",-60.244313,-38.027927,301.4729415,410,288.5270585
"2801",-60.268303,-38.247338,209.5481531,380,410.4518469
"2802",-58.661675,-38.143606,281.3745894,370,348.6254106
"2803",-58.968039,-38.260668,290.7369102,340,369.2630898
"2804",-58.597607,-38.319632,312.9365893,380,307.0634107
"2805",-58.630134,-38.303778,274.7229605,430,295.2770395
"2806",-61.215505,-38.414291,367.9221804,240,392.0778196
"2807",-61.13691,-38.449819,320.717317,320,359.282683
"2808",-60.674808,-38.450559,345.8280344,330,324.1719656
"2809",-60.471029,-38.343757,294.6633693,450,255.3366307
"2810",-60.117623,-38.411625,290.0579141,310,399.9420859
"2811",-59.948454,-38.345423,-4.1367256,650,354.1367256
"2812",-59.705792,-38.351409,336.831224,310,353.168776
"2813",-59.526488,-38.479162,207.2522363,510,282.7477637
"2814",-59.521259,-38.449042,179.1331895,690,130.8668105
"2815",-59.482203,-38.430059,257.1286087,490,252.8713913
"2816",-59.351091,-38.497836,282.6557329,440,277.3442671
"2817",-59.238684,-38.354139,270.3211527,400,329.6788473
"2818",-59.175369,-38.432637,175.6896445,510,314.3103555
"2819",-59.375287,-38.608621,206.0953033,530,263.9046967
"2820",-58.584368,-38.454193,257.8034169,380,362.1965831
"2821",-58.990394,-38.653059,129.8436633,720,150.1563367
"2822",-58.918788,-38.620616,225.0021358,530,244.9978642
"2824",-59.783611,-38.794167,1000,0,0
"2825",-59.870278,-38.688889,200.654332,550,249.345668
"2826",-59.975,-38.707778,211.1899382,470,318.8100618
"2827",-59.661111,-38.768611,232.7846762,440,327.2153238
"2828",-59.36891,-38.702336,215.7617314,520,264.2382686
"2891",-57.919167,-38.143333,253.7920679,380,366.2079321
"2892",-61.076031,-37.207754,240.4269847,340,419.5730153
"2911",-60.642322,-37.470622,197.6384754,420,382.3615246
"2948",-60.818033,-37.576014,253.8261424,400,346.1738576
"51",-60.351883,-38.806003,229.6947765,460,310.3052235
"6180",-60.426332,-36.968591,209.4967392,410,380.5032608
"6181",-60.416225,-36.976493,210.7599113,410,379.2400887
"6182",-60.428667,-36.936824,215.9407014,400,384.0592986
"6506",-58.396944,-38.162778,229.794854,430,340.205146
"6510",-58.061389,-38.082778,241.063766,430,328.936234
"6511",-58.059167,-38.081944,213.4188025,460,326.5811975
"6512",-58.316111,-38.311944,299.603034,380,320.396966
"6513",-58.45,-38.323333,349.3429058,350,300.6570942
"6516",-58.446944,-38.232778,266.0001771,420,313.9998229
"6518",-58.1075,-38.217778,243.8963975,430,326.1036025
"6519",-57.761111,-38.151667,268.8782508,410,321.1217492
"6520",-57.878611,-38.278611,319.9458098,360,320.0541902
"6523",-58.385278,-38.370278,316.0317079,370,313.9682921
"6525",-58.498056,-38.443333,348.0612032,340,311.9387968
"6526",-58.400833,-38.483611,332.3727521,350,317.6272479
"6534",-57.6438,-37.865524,387.5286029,290,322.4713971
"6536",-57.550411,-37.894568,249.3481189,390,360.6518811
"6537",-57.550501,-37.898232,258.4249374,380,361.5750626
"6539",-57.641456,-37.890898,394.9762542,290,315.0237458
"6541",-57.642182,-37.932979,255.044625,420,324.955375
"6545",-57.843414,-37.884461,260.6285774,400,339.3714226
"6548",-57.843081,-37.883816,225.4145787,440,334.5854213
"6557",-57.960558,-37.783807,285.4488149,390,324.5511851
"6558",-57.832593,-37.819045,267.6674627,390,342.3325373
"6559",-57.92249,-37.725146,311.1242246,350,338.8757754
"6562",-57.943062,-37.795888,236.7890598,440,323.2109402
"6564",-58.03998,-37.865456,203.3591888,460,336.6408112
"6565",-57.951064,-37.698311,264.7768778,400,335.2231222
"6567",-58.195908,-37.927889,243.3780441,430,326.6219559
"6569",-58.222572,-37.869889,262.7369219,410,327.2630781
"6571",-58.206973,-37.892506,229.4577465,440,330.5422535
"6572",-58.203665,-37.897639,234.7073078,430,335.2926922
"6578",-58.174558,-37.860565,254.3500355,420,325.6499645
"6579",-58.17404,-37.859933,254.3500355,420,325.6499645
"6695",-58.458167,-37.864595,221.6787768,450,328.3212232
"6698",-58.415295,-37.877354,276.5599896,400,323.4400104
"6699",-58.361847,-37.876597,238.7607977,440,321.2392023
"6700",-58.371095,-37.970677,233.0314433,440,326.9685567
"6701",-58.274497,-37.954108,221.337073,450,328.662927
"6702",-58.312215,-37.942206,254.0289957,410,335.9710043
"6706",-58.089591,-37.686253,257.1478409,390,352.8521591
"6708",-58.291158,-37.948582,288.3784733,380,331.6215267
"6711",-58.101478,-37.697817,292.8696122,370,337.1303878
"6717",-58.045808,-37.753701,299.1940356,390,310.8059644
"6720",-58.07997,-37.741131,278.0599487,390,331.9400513
"6721",-58.089926,-37.690694,261.5776055,390,348.4223945
"6722",-58.204346,-37.685472,248.0525518,420,331.9474482
"6723",-58.193232,-37.833149,299.5668019,500,200.4331981
"6727",-58.257797,-37.793142,244.2734985,400,355.7265015
"6731",-58.362508,-37.667556,291.0414583,390,318.9585417
"6732",-58.279865,-37.805604,210.9876352,420,369.0123648
"6733",-58.481205,-37.736493,224.7015712,460,315.2984288
"6752",-58.342681,-37.803371,253.9587317,420,326.0412683
