id_prof,id_hor,x,y,date,top,bottom,ph_h2o,k,soc,clay,bd,cec
51,28706,-60.351883,-38.806003,1986-10-28,0,15,6.5,1.5,2.59,20.7,NA,18.9
51,28707,-60.351883,-38.806003,1986-10-28,15,25,6.5,1.7,2.46,21.4,NA,19.1
51,28708,-60.351883,-38.806003,1986-10-28,25,52,6.5,0.8,1.28,26.9,NA,21.9
51,28709,-60.351883,-38.806003,1986-10-28,52,57,NA,NA,NA,NA,NA,NA
154,28425,-58.674303,-38.207964,1982-10-07,0,14,6,2.2,3.62,22.9,NA,24.3
154,28426,-58.674303,-38.207964,1982-10-07,14,26,6,1.9,2.84,22.9,NA,24.3
154,28427,-58.674303,-38.207964,1982-10-07,26,44,6.4,2.5,1.06,36.9,NA,28.8
154,28428,-58.674303,-38.207964,1982-10-07,44,56,6.7,2.2,0.46,24.6,NA,21.3
154,28429,-58.674303,-38.207964,1982-10-07,56,105,6.5,1.8,0.16,18.6,NA,17.1
197,28588,-60.459175,-38.362847,1986-09-26,0,13,5.9,2.8,3.35,27.3,NA,25.6
197,28589,-60.459175,-38.362847,1986-09-26,13,38,6,2.1,2.38,27.4,NA,22.7
197,28590,-60.459175,-38.362847,1986-09-26,38,60,6,1.9,1.24,30.1,NA,22.1
197,28591,-60.459175,-38.362847,1986-09-26,60,72,6.5,1.8,0.58,33.1,NA,22.6
197,28592,-60.459175,-38.362847,1986-09-26,72,89,6.5,2,0.46,29.3,NA,20.6
197,28593,-60.459175,-38.362847,1986-09-26,89,118,6.6,1.8,0.25,19.6,NA,16.7
197,28594,-60.459175,-38.362847,1986-09-26,118,150,6.7,1.8,0.14,18.8,NA,15.3
262,28626,-58.866944,-38.421944,1981-11-05,0,23,6.6,2.3,1.79,20.6,NA,18.3
262,28627,-58.866944,-38.421944,1981-11-05,23,42,6.8,1.8,1.2,21.9,NA,18.5
262,28628,-58.866944,-38.421944,1981-11-05,42,56,7,2,1.41,22.8,NA,20.4
262,28629,-58.866944,-38.421944,1981-11-05,56,82,7.3,1.3,0.88,15.5,NA,14.7
262,28630,-58.866944,-38.421944,1981-11-05,82,143,7.4,0.5,0.9,18.5,NA,17.3
262,28631,-58.866944,-38.421944,1981-11-05,143,148,NA,NA,NA,NA,NA,NA
2700,12378,-58.483256,-37.735839,1970-02-01,0,28,6.9,2.4,5.98,26.9,NA,39.2
2700,12379,-58.483256,-37.735839,1970-02-01,28,43,NA,NA,NA,NA,NA,NA
2702,12347,-58.022222,-37.821667,1970-03-21,0,23,7,2.3,4.11,25.7,NA,29.4
2702,12348,-58.022222,-37.821667,1970-03-21,23,31,7.4,1.9,2.64,27.8,NA,25.1
2702,12349,-58.022222,-37.821667,1970-03-21,31,54,7.4,1.4,1.2,31.3,NA,29.2
2702,12350,-58.022222,-37.821667,1970-03-21,54,70,7.8,0.9,0.64,29.3,NA,24.4
2702,12351,-58.022222,-37.821667,1970-03-21,70,75,NA,NA,NA,NA,NA,NA
2705,12340,-57.929167,-37.945833,1970-03-24,0,15,6.1,2.2,8.86,32.8,NA,44.9
2705,12341,-57.929167,-37.945833,1970-03-24,15,20,NA,NA,NA,NA,NA,NA
2706,12380,-57.918611,-37.954444,1970-03-24,0,15,5.9,2.7,4.03,23.1,NA,23.7
2706,12381,-57.918611,-37.954444,1970-03-24,15,29,6.1,1.9,3.06,22.4,NA,22.4
2706,12382,-57.918611,-37.954444,1970-03-24,29,39,6.3,1.2,1.74,23.6,NA,22.9
2706,12383,-57.918611,-37.954444,1970-03-24,39,58,6.7,1.4,1.36,33.3,NA,30.3
2706,12384,-57.918611,-37.954444,1970-03-24,58,76,7,1.3,0.58,31.4,NA,27.1
2706,12385,-57.918611,-37.954444,1970-03-24,76,110,7.2,1.1,0.29,19.6,NA,18.2
2706,12386,-57.918611,-37.954444,1970-03-24,110,160,7.6,1,0.04,13.7,NA,15.1
2709,12319,-60.472222,-36.677778000000004,1971-08-27,0,13,9.9,2.9,1.33,21.9,NA,NA
2709,12320,-60.472222,-36.677778000000004,1971-08-27,13,27,10.1,2.9,0.55,45.8,NA,NA
2709,12321,-60.472222,-36.677778000000004,1971-08-27,27,53,10,3.6,0.23,49.6,NA,NA
2709,12322,-60.472222,-36.677778000000004,1971-08-27,53,65,9.6,3.1,0.16,37.2,NA,NA
2709,12323,-60.472222,-36.677778000000004,1971-08-27,65,80,NA,NA,NA,NA,NA,NA
2710,12311,-60.228559,-36.691154,1971-02-25,0,21,7,1.3,3.58,24.3,NA,23.1
2710,12312,-60.228559,-36.691154,1971-02-25,21,42,8.7,2,0.84,42.3,NA,38.6
2710,12313,-60.228559,-36.691154,1971-02-25,42,58,9.2,2.6,0.34,54,NA,42.3
2710,12314,-60.228559,-36.691154,1971-02-25,58,100,NA,NA,NA,NA,NA,NA
2711,12230,-60.450759,-36.843936,1971-05-20,0,15,6.7,2.8,3.05,19.9,NA,20.9
2711,12231,-60.450759,-36.843936,1971-05-20,15,31,7,2.1,1.85,18.2,NA,18.6
2711,12232,-60.450759,-36.843936,1971-05-20,31,45,7.3,1.5,0.86,17.5,NA,15.6
2711,12233,-60.450759,-36.843936,1971-05-20,45,68,7.4,1.6,0.56,25.5,NA,19.7
2711,12234,-60.450759,-36.843936,1971-05-20,68,93,7.5,0.9,0.14,16.9,NA,13.2
2711,12235,-60.450759,-36.843936,1971-05-20,93,113,7.8,0.8,0.16,14.7,NA,12.8
2711,12236,-60.450759,-36.843936,1971-05-20,113,120,NA,NA,NA,NA,NA,NA
2712,12334,-60.426314,-36.944677,1971-05-25,0,14,6.6,2.4,4.22,33.8,NA,31.2
2712,12335,-60.426314,-36.944677,1971-05-25,14,25,6.3,1.6,3.46,34.3,NA,29.9
2712,12336,-60.426314,-36.944677,1971-05-25,25,32,6.7,1,1.63,36.6,NA,26.7
2712,12337,-60.426314,-36.944677,1971-05-25,32,47,7,1.3,0.96,40.7,NA,30.9
2712,12338,-60.426314,-36.944677,1971-05-25,47,66,7.6,1.2,0.48,41.2,NA,32.4
2714,12409,-59.27717,-36.95655,1974-01-22,0,28,5.8,2.7,3.59,24.6,NA,23.3
2714,12410,-59.27717,-36.95655,1974-01-22,28,39,6.6,1.2,1.14,23.4,NA,15.9
2714,12411,-59.27717,-36.95655,1974-01-22,39,67,7,1,0.56,36.1,NA,22.2
2714,12412,-59.27717,-36.95655,1974-01-22,67,87,7.2,1,0.19,25.5,NA,15.9
2714,12413,-59.27717,-36.95655,1974-01-22,87,137,7.1,1.1,NA,19.8,NA,13.2
2715,12237,-61.236929,-37.145436,1988-06-15,0,18,6.1,2.8,4.6,29.2,NA,23.6
2715,12238,-61.236929,-37.145436,1988-06-15,18,26,7.5,1.9,1.4,20.1,NA,16.5
2715,12239,-61.236929,-37.145436,1988-06-15,26,44,9,3.5,0.5,41.2,NA,44.8
2715,12240,-61.236929,-37.145436,1988-06-15,44,73,9.3,3.5,0.14,39,NA,40.3
2715,12241,-61.236929,-37.145436,1988-06-15,73,96,9,3.3,0.07,36.7,NA,34.9
2715,12242,-61.236929,-37.145436,1988-06-15,96,115,9.4,3.1,0.16,26.9,NA,24.6
2716,12357,-61.126443,-37.170563,1988-06-15,0,21,6.3,2.3,2.9,28.4,NA,24.5
2716,12358,-61.126443,-37.170563,1988-06-15,21,36,6.3,2,0.91,36.9,NA,21
2716,12359,-61.126443,-37.170563,1988-06-15,36,52,6.5,2,0.75,41.2,NA,25.8
2716,12360,-61.126443,-37.170563,1988-06-15,52,71,6.5,1.9,0.52,39.9,NA,21.8
2716,12361,-61.126443,-37.170563,1988-06-15,71,94,6.5,2,0.3,37.9,NA,24.7
2716,12362,-61.126443,-37.170563,1988-06-15,94,120,6.5,2.6,0.23,35.4,NA,26.7
2716,12363,-61.126443,-37.170563,1988-06-15,120,145,7,2.7,0.18,31.3,NA,27.7
2716,12364,-61.126443,-37.170563,1988-06-15,145,172,7,2.4,0.17,27.9,NA,25.7
2716,12365,-61.126443,-37.170563,1988-06-15,172,175,NA,NA,NA,NA,NA,NA
2717,12308,-60.33493,-37.119009,1972-07-12,0,25,7.1,2.4,4.59,32.7,NA,35.1
2717,12309,-60.33493,-37.119009,1972-07-12,25,47,7.6,1,1.11,47.7,NA,36.4
2718,12387,-60.40875,-37.09873,1972-08-31,0,18,8.5,1.9,3.18,32.3,NA,39.9
2718,12388,-60.40875,-37.09873,1972-08-31,18,28,8.8,1.4,0.82,47.3,NA,39.5
2718,12389,-60.40875,-37.09873,1972-08-31,28,53,8.7,2.1,0.6,66.2,NA,63
2718,12390,-60.40875,-37.09873,1972-08-31,53,100,8.8,NA,0.24,NA,NA,NA
2719,12324,-60.419527,-37.184562,1972-07-21,0,19,6.6,1.8,5.59,33.6,NA,34.7
2719,12325,-60.419527,-37.184562,1972-07-21,19,32,7.5,1.3,0.99,25.5,NA,19.4
2719,12326,-60.419527,-37.184562,1972-07-21,32,58,7.6,2.3,0.72,47.3,NA,34.3
2719,12327,-60.419527,-37.184562,1972-07-21,58,85,8.2,2.5,0.34,46.4,NA,36.2
2719,12328,-60.419527,-37.184562,1972-07-21,85,111,8.3,2,0.18,34.5,NA,32
2720,12391,-60.317482,-37.180943,1972-06-01,0,22,6.4,3.1,4.4,29.4,NA,27.5
2720,12392,-60.317482,-37.180943,1972-06-01,22,38,7,0.8,0.89,23.5,NA,14.4
2720,12393,-60.317482,-37.180943,1972-06-01,38,66,7.4,1.9,0.63,41.6,NA,29.2
2720,12394,-60.317482,-37.180943,1972-06-01,66,88,8.7,2.3,0.23,34.8,NA,33.5
2720,12395,-60.317482,-37.180943,1972-06-01,88,118,8.7,2.2,0.04,23.1,NA,26.6
2720,12396,-60.317482,-37.180943,1972-06-01,118,160,8.9,2,NA,21.5,NA,21.2
2721,12342,-59.475147,-37.283576,1971-12-15,0,25,6.9,2.2,3.92,29.4,NA,29.1
2721,12343,-59.475147,-37.283576,1971-12-15,25,36,7,1.7,1.74,38.3,NA,23.2
2721,12344,-59.475147,-37.283576,1971-12-15,36,83,7.3,1.7,0.74,42.1,NA,21.4
2721,12345,-59.475147,-37.283576,1971-12-15,83,108,7.5,1.8,0.18,30.2,NA,19.5
2721,12346,-59.475147,-37.283576,1971-12-15,108,135,7.5,1.8,NA,24.4,NA,17.3
2723,12315,-60.817359,-37.581966,1989-05-05,0,29,6.7,2.9,2.2,25,NA,24.3
2723,12316,-60.817359,-37.581966,1989-05-05,29,39,6.6,2.9,2,29.3,NA,25
2723,12317,-60.817359,-37.581966,1989-05-05,39,55,7.1,3.4,1.47,39.2,NA,36.6
2723,12318,-60.817359,-37.581966,1989-05-05,55,70,7.9,8.2,0.96,33.4,NA,28
2725,12329,-61.466667,-38.033333,1986-11-02,0,25,7.5,2.6,2.55,29.6,NA,26.3
2725,12330,-61.466667,-38.033333,1986-11-02,25,30,NA,NA,NA,NA,NA,NA
2726,12331,-58.517943,-38.006483,1982-10-05,0,23,5.8,1.2,3.5,30.7,NA,35.1
2726,12332,-58.517943,-38.006483,1982-10-05,23,45,6.5,0.6,1.53,41.8,NA,35.8
2726,12333,-58.517943,-38.006483,1982-10-05,45,50,NA,NA,NA,NA,NA,NA
2761,12568,-58.2625,-37.808333,1973-10-05,0,18,6.9,1.6,2.29,18.4,NA,17.6
2761,12569,-58.2625,-37.808333,1973-10-05,18,31,8.2,1,0.35,11.1,NA,9.1
2761,12570,-58.2625,-37.808333,1973-10-05,31,51,8.6,2.4,0.43,36.5,NA,26.8
2761,12571,-58.2625,-37.808333,1973-10-05,51,71,8.6,3.1,0.29,42.7,NA,37.4
2761,12572,-58.2625,-37.808333,1973-10-05,71,95,9,2.6,0.15,24.2,NA,28.2
2762,12598,-58.159944,-37.892539,1970-04-03,0,27,6.5,1.8,3.01,22.5,NA,18.7
2762,12599,-58.159944,-37.892539,1970-04-03,27,41,7,1.2,0.42,13.5,NA,10.9
2762,12600,-58.159944,-37.892539,1970-04-03,41,69,7,2.6,0.36,30.5,NA,25.3
2762,12601,-58.159944,-37.892539,1970-04-03,69,94,7.2,2,0.13,24.8,NA,18.3
2762,12602,-58.159944,-37.892539,1970-04-03,94,125,7.4,2.1,0.08,18.8,NA,19.1
2762,12603,-58.159944,-37.892539,1970-04-03,125,160,7.6,1.9,0.06,14.5,NA,16.1
2763,12604,-60.206605,-36.836636,1970-08-27,0,11,6.8,2.6,4.55,19.7,NA,25
2763,12605,-60.206605,-36.836636,1970-08-27,11,26,6.7,2.4,3.48,22.4,NA,24.6
2763,12606,-60.206605,-36.836636,1970-08-27,26,33,7.7,1.8,1,14.2,NA,13
2763,12607,-60.206605,-36.836636,1970-08-27,33,51,8.1,3.2,0.57,32.7,NA,25.4
2763,12608,-60.206605,-36.836636,1970-08-27,51,55,NA,NA,NA,NA,NA,NA
2764,12613,-61.090163,-37.183748,1988-06-01,0,25,6.4,2.5,2.5,24.4,NA,20
2764,12614,-61.090163,-37.183748,1988-06-01,25,50,6.7,2.4,0.82,23.9,NA,17.9
2764,12615,-61.090163,-37.183748,1988-06-01,50,65,7.2,1.8,0.29,19.8,NA,17
2764,12616,-61.090163,-37.183748,1988-06-01,65,88,8.7,1.7,0.16,16.2,NA,16.2
2764,12617,-61.090163,-37.183748,1988-06-01,88,108,9.2,2,0.12,13.9,NA,11.4
2764,12618,-61.090163,-37.183748,1988-06-01,108,153,9.7,1.8,0.05,11.4,NA,11.7
2767,12645,-61.472331,-37.377956,1988-05-05,0,32,6.8,2.3,4.8,22,NA,19.5
2767,12646,-61.472331,-37.377956,1988-05-05,32,54,7,2.1,0.93,22.1,NA,16.8
2767,12647,-61.472331,-37.377956,1988-05-05,54,74,7.5,1.9,0.2,20.4,NA,17.4
2767,12648,-61.472331,-37.377956,1988-05-05,74,110,8.2,2.3,0.16,15.6,NA,16.7
2767,12649,-61.472331,-37.377956,1988-05-05,110,120,9.1,2.2,0.22,10.6,NA,13.8
2768,13317,-60.955252,-37.365404,1988-05-06,0,28,6.5,1.6,2.5,20.1,NA,17.2
2768,13318,-60.955252,-37.365404,1988-05-06,28,39,8.3,0.8,0.82,14.1,NA,10.5
2768,13319,-60.955252,-37.365404,1988-05-06,39,59,8.5,1.7,0.62,29.3,NA,23.3
