"","SU_CODE","sum","mean","Soil.type"
"1",0,3816714956.6179,3448.12115004188,NA
"2",1,45170473362.3884,4559.91049489082,"Acrisols"
"3",2,2435988171.07938,4272.3892366827,"Alisols"
"4",3,8225402135.35851,5619.16950710065,"Andosols"
"5",4,24068051585.2268,1938.64037430039,"Arenosols"
"6",5,2213791781.77118,2878.3363130572,"Anthrosols"
"7",6,19598977497.2016,4914.21920697455,"Chernozems"
"8",7,21339052166.4225,1546.0758805161,"Calcisols"
"9",8,65834594535.5697,3884.39589796592,"Cambisols"
"10",9,19405114931.4978,3410.95935920007,"Fluvisols"
"11",10,39761752603.1667,4093.45015107488,"Ferralsols"
"12",11,60288141559.8245,4598.98263613698,"Gleysols"
"13",12,5158591136.85181,4081.99060636633,"Greyzems"
"14",13,3110204391.92179,1685.15760439531,"Gypsisols"
"15",14,34576689916.7528,6375.8363861945,"Histosols"
"16",15,16730024096.5338,2857.10940126547,"Kastanozems"
"17",16,78673614809.9065,3219.33375865323,"Leptosols"
"18",17,36159648255.8044,3071.86712004936,"Luvisols"
"19",18,9335938629.26139,3127.72869966618,"Lixisols"
"20",19,7737932527.16695,4395.68592281348,"Nitisols"
"21",20,15905357880.0176,3095.78577372322,"Podzoluvisols"
"22",21,18260362874.1303,4121.24964687513,"Phaeozems"
"23",22,4340095107.96654,3611.35597451349,"Planosols"
"24",23,5961681235.62954,3689.70715677423,"Plinthosols"
"25",24,55992274041.3303,4098.82233672506,"Podzols"
"26",25,44496863906.3543,2686.99749417435,"Regosols"
"27",26,2589752957.98295,1531.3851298271,"Solonchaks"
"28",27,8252075748.83464,2789.98230711521,"Solonetz"
"29",28,9623273689.87748,2526.74728411339,"Vertisols"
"30",29,2593587391.07794,1401.77319067523,"Rock Outcrop"
"31",30,5159427906.54363,1094.7314887206,"Sand Dunes"
"32",31,2784874265.28438,3295.70528944271,"Water Bodies"
"33",32,152202154.909695,3257.68187559544,"Urban, mining, etc."
"34",33,221015311.308533,1107.58523710471,"Salt Flats"
"35",34,285940735.868347,1592.60308599248,"No data"
"36",35,1725165115.69712,2291.74680241868,"Glaciers"
"37",36,733669.455444336,4733.35132544733,"Island"
